parser,context_uid,pages,questions,word_error_rate,text_accuracy_from_wer,reading_order_accuracy,table_cell_f1,table_shape_match,table_exact_match,extractive_answer_retention,arithmetic_operand_retention,runtime_seconds,run_status
pymupdf4llm,1fc1784c-38a0-49a2-a985-8c8a479f5f66,1,6,0.05161290322580645,0.9483870967741935,0.9870967741935484,0.9387755102040816,1,0,1.0,0.75,0.422729,ok
pymupdf4llm,37fc1d68-ab05-4913-8fe6-4cbaafdc39cf,1,6,0.047619047619047616,0.9523809523809523,1.0,0.9302325581395349,1,0,1.0,1.0,0.313303,ok
pymupdf4llm,2e0e3d40-9bb4-4c64-9f0b-32197d205e4b,1,6,0.03571428571428571,0.9642857142857143,0.9910714285714286,0.888888888888889,0,0,1.0,1.0,0.238411,ok
pymupdf4llm,80e4cf21-5ead-4d13-98e7-0d57b30f8617,1,6,0.08695652173913043,0.9130434782608696,1.0,0.9189189189189189,0,0,1.0,1.0,0.112388,ok
pymupdf4llm,75ab135a-beab-4a3e-ae96-356cd0dd0b59,2,6,0.04307116104868914,0.9569288389513109,0.9868913857677902,0.9543147208121827,0,0,0.6666666666666666,1.0,4.613015,ok
pymupdf4llm,7fa11b39-7af2-408b-9ee2-03479d6f6ffe,1,6,0.12213740458015267,0.8778625954198473,0.9312977099236641,0.8095238095238095,0,0,1.0,1.0,0.343614,ok
pymupdf4llm,89cf13a2-6d08-48be-a45d-2346422d5c38,1,6,0.01875,0.98125,1.0,0.9433962264150945,1,0,1.0,1.0,0.743252,ok
pymupdf4llm,6aa15859-a841-47eb-ad04-a441599cf05c,1,6,0.04642857142857143,0.9535714285714285,0.9678571428571429,0.888888888888889,0,0,1.0,1.0,1.231714,ok
pymupdf4llm,879fb3ae-fc64-49f1-8a85-5756ff4ee3b6,1,6,0.05194805194805195,0.948051948051948,0.974025974025974,0.9259259259259259,0,0,1.0,1.0,0.650311,ok
pymupdf4llm,ef1f83ac-45f8-4d92-b577-390b4d8d9473,1,6,0.0,1.0,1.0,1.0,1,1,1.0,1.0,0.618897,ok
pymupdf4llm,ae44e24d-3fb5-4eff-95e1-ec8fc530c1d7,1,6,0.019138755980861243,0.9808612440191388,1.0,0.9411764705882353,1,0,1.0,1.0,0.469967,ok
pymupdf4llm,0fe00fcf-5d01-45b8-be3b-cc7faa0ddf08,1,6,0.0783132530120482,0.9216867469879518,0.963855421686747,0.888888888888889,0,0,0.6666666666666666,0.8333333333333334,0.399197,ok
pymupdf4llm,001e29d7-77e9-4434-9a3d-f72ef640fa79,1,6,0.04938271604938271,0.9506172839506173,1.0,0.9333333333333333,1,0,1.0,1.0,0.157046,ok
pymupdf4llm,0027cf6e-f6e8-4d8b-b4ee-0b9f9aeb1f54,1,6,0.01293103448275862,0.9870689655172413,0.9913793103448276,0.9369369369369368,1,0,1.0,1.0,2.157674,ok
